,0,1,2,3,4,5,6,7,8,9,10
3868,University of Nevada - Las Vegas (UNLV),civil engineering ,"$16,750",0.74,2017-2018,1st,,,"$16,750",,
3869,University of Florida (UF),Biomedical Sciences ,"$29,400",1.29,2017-2018,1st,"My program pays my semester fees (~$740) for spring summer and fall, and I also receive <span class=""truncated""> comprehensive health insurance at no out of pocket cost. </span>","$29,400",,,
3870,University of Massachusetts - Amherst (UMass),English,"$18,494",0.81,2016-2017,3rd,,,"$19,174",,$680
3871,Virginia Tech,Psychology,"$24,700",1.17,2016-2017,5th,,"$25,000",,,$300
3872,Duke University (DU),Cognitive Neuroscience Admitting Program,"$29,420",1.56,2014-2015,1st,,"$29,420",,,
3873,Pennsylvania State University (Penn State),Psychology ,"$23,800",1.06,2016-2017,,,,"$20,100","$3,700",
3874,University of Massachusetts - Amherst (UMass),Neuroscience and behavior ,"$25,200",1.10,2017-2018,4th,Required fees are servicing fees ,"$26,000",,,$800
3875,University of Illinois - Urbana- Champaign (UIUC),English,"$25,000",1.14,2016-2017,1st,,"$25,000",,,
3876,University of Illinois - Urbana- Champaign (UIUC),English,"$25,000",1.14,2016-2017,1st,,"$25,000",,,
3877,University of Illinois - Urbana- Champaign (UIUC),English,"$21,817",0.99,2016-2017,1st,,"$21,817",,,
3878,Loyola University Chicago (LUC),English,"$20,000",0.82,2016-2017,1st,,"$20,000",,,
3879,University of Chicago (UC),English,"$18,000",0.74,2016-2017,1st,,"$18,000",,,
3880,University of Chicago (UC),English,"$30,000",1.24,2016-2017,1st,,"$30,000",,,
3881,University of Chicago (UC),English,"$33,000",1.36,2016-2017,1st,,"$33,000",,,
