,0,1,2,3,4,5,6,7,8,9,10
194,Duke University (DU),Computer Science,"$30,000",1.60,,6th and up,"My summer salary is normally higher than my 9-month salary.  However, in the years where my lab did <span class=""truncated""> not have money, it was actually lower.  I live in Durham and this is a huge advantage in terms of quality of life.  My stipend allows me to leave comfortably here.  </span>","$30,000",,,
195,Duke University (DU),Biochemistry,"$29,840",1.59,2012-2013,6th and up,,"$29,840",,,
196,University of Virginia (UVA),Chemical Engineering,"$32,000",1.63,2013-2014,4th,"This includes health insurance coverage, tuition, fees/etc. This is from an NSF Graduate Student <span class=""truncated""> Fellowship. </span>","$32,000",,,
197,Duke University (DU),Biomedical Engineering,"$32,000",1.70,2013-2014,2nd,This is the stipend associated with the NSF Fellowship.,"$32,000",,,
198,University of Virginia (UVA),Chemical Engineering,"$25,000",1.28,2013-2014,4th,"This stipend includes full health insurance coverage, student fees, tuition, and a gym membership <span class=""truncated""> to the University&#39;s athletic center. </span>","$25,000",,,
199,Duke University (DU),Biomedical Engineering,"$27,850",1.48,2013-2014,6th and up,"I just receive the base stipend in my department.  It is quite easy to live in Durham on this <span class=""truncated""> stipend, especially if you have a roommate and no car payment.  I will graduate with substantial savings, actually.</span>","$27,850",,,
200,Bowling Green State University (BGSU),Psychology,"$11,900",0.63,2015-2016,2nd,Stipend does not cover full credit hour load,,"$13,000",,"$1,100"
201,Texas Tech University (TTU),Personal Financial Planning,"$18,350",1.12,2014-2015,2nd,,"$18,850",,,$500
202,Duke University (DU),Music,"$26,580",1.41,2014-2015,1st,,,"$21,080","$5,500",
203,University of Washington,Physics,"$27,340",,2014-2015,6th and up,"$1140/mo. during the year, but $1500/mo. in the summer. The additional pay during the summer <span class=""truncated""> doesn&#39;t necessarily apply to all students in the department.</span>","$28,900",,,"$1,560"
204,Duke University (DU),Fuqua/ Finance,"$2,100",0.11,2014-2015,2nd,,"$2,100",,,
205,California Institute of Technology (Caltech),,"$30,000",1.27,2014-2015,3rd,,"$30,000",,,
206,University of Georgia (UGA),Integrated Life Sciences,"$25,000",1.39,2014-2015,1st,"14 distinct graduate programs and over 200 faculty; subsidized health insurance and waivers; <span class=""truncated""> tuition reduced to $25 per semester; average 1 bedroom apartment $400-600.</span>","$25,000",,,
207,Columbia University (CU),Physics,"$33,792",1.27,2014-2015,1st,,"$33,792",,,
208,University of Minnesota - Twin Cities (UM),Physics,"$24,440",1.07,2015-2016,,,"$24,440",,,
209,University of Northern Colorado (UNC),Chemistry,"$22,000",1.25,2014-2015,5th,,"$24,000",,,"$2,000"
210,Scripps Research Institute (SRI),Chemistry,"$30,000",1.27,2014-2015,5th,,"$30,000",,,
211,University of California - Los Angeles (UCLA),Astronomy,"$30,706",1.30,2013-2014,5th,"Most fees are paid by the department and/or grants; only a small portion are directly paid by the <span class=""truncated""> student. Paid as a GSR. 30% of my gross pay went to rent. GSR students are paid as &#39;half time&#39; employees during the school year and &#39;full time&#39; during the summer. This entertaining fiction is further hilarious because nobody here ever works 40 hours or fewer at any time of year.</span>","$31,106",,,$400
212,University of California - Los Angeles (UCLA),Astronomy,"$30,706",1.30,2013-2014,6th and up,"Most fees are paid by the department and/or grants; only a small portion are directly paid by the <span class=""truncated""> student.</span>","$31,106",,,$400
213,University of California - Los Angeles (UCLA),Astronomy,"$30,971",1.31,2013-2014,,"Most fees are paid by the department and/or grants; only a small portion are directly paid by the <span class=""truncated""> student.</span>","$31,106",,,$135
214,University of California - Santa Barbara (UCSB),materials,"$28,800",1.17,2014-2015,2nd,-,"$28,800",,,
215,Georgia State University (GSU),History,"$9,000",0.43,2014-2015,6th and up,"Must also have health insurance.  If you don&#39;t have it, they will provide it and charge according <span class=""truncated""> to age.</span>","$12,000",,,"$3,000"
216,North Carolina State University (NCSU),Civil Engineering,$-469,-0.02,2013-2014,4th,,"$1,800",,,"$2,269"
217,Yale University (YU),Economics,"$35,000",1.59,2014-2015,1st,Free health care. Required 2-3 years of teaching.,"$35,000",,,
218,Georgia Institute of Technology (Georgia Tech),Biomedical Engineering,"$23,501",1.12,2013-2014,6th and up,"Pay $739 for parking
","$28,000",,,"$4,499"
219,University of Colorado - Denver (UCD),CLINICAL HEALTH PSYCHOLOGY,"$15,000",0.78,2014-2015,1st,,,"$15,000",,
220,Duke University (DU),"Art,  Art History &amp; Visual Studies",$4,0.00,2013-2014,6th and up,,,"$6,328",,"$6,324"
221,Duke University (DU),"Art,  Art History &amp; Visual Studies","$16,481",0.88,2013-2014,5th,,,"$22,805",,"$6,324"
222,University of Iowa (UI),Psychology,"$23,000",1.29,2014-2015,1st,Presidential Fellowship (now discontinued),"$24,000",,,"$1,000"
223,University of Oregon (UO),Psychology,"$24,000",1.37,2014-2015,6th and up,,,"$21,000","$3,000",
224,North Carolina State University (NCSU),Immunology,"$19,800",0.94,2014-2015,3rd,Two semesters of students fees ~$1350 for a total of $2700/year.,"$22,500",,,"$2,700"
225,Duke University (DU),Romance,"$27,000",1.44,2014-2015,1st,,"$27,000",,,
226,Walden University,phd leadership ,"$34,000",1.48,2015-2016,1st,,"$36,000",,,"$2,000"
227,Georgia Institute of Technology (Georgia Tech),Electrical and Computer Engineering,"$48,083",2.29,2014-2015,2nd,"5500 is supplemental fellowship from the school, and 20,000 is an external fellowship","$51,500",,,"$3,417"
228,Duke University (DU),Fuqua School of Business,"$28,700",1.53,2014-2015,1st,,"$28,700",,,
229,Duke University (DU),Medical Physics,"$29,420",1.56,2014-2015,4th,,"$29,420",,,
230,University of Illinois - Urbana- Champaign (UIUC),Molecular and Cellular Biology,"$24,000",1.39,2014-2015,2nd,,"$25,000",,,"$1,000"
231,Duke University (DU),Graduate Program in Religion,"$33,060",1.76,2014-2015,,,,"$27,560","$5,500",
232,Duke University (DU),Immunology,"$29,420",1.56,2014-2015,2nd,,"$29,420",,,
233,Duke University (DU),Physics,"$28,000",1.49,2014-2015,2nd,,"$28,000",,,
234,Duke University (DU),Medical Physics,"$33,000",1.75,2014-2015,2nd,,"$33,000",,,
235,,Pharmacology,"$29,419",,2014-2015,,,"$29,419",,,
236,Duke University (DU),Economics,"$30,000",1.60,2014-2015,2nd,,,"$21,000","$9,000",
237,Duke University (DU),Biology,"$29,400",1.56,2014-2015,,,"$29,400",,,
238,Duke University (DU),Mechanical Engineering and Materials Science,"$27,900",1.48,2014-2015,1st,,"$28,000",,,$100
239,Duke University (DU),Cell Biology,"$29,016",1.54,2014-2015,3rd,,"$29,016",,,
240,Duke University (DU),,"$35,000",1.86,2014-2015,1st,,"$35,000",,,
241,,,"$28,000",,2014-2015,4th,,"$28,000",,,
242,Duke University (DU),Pharmacology and Cancer Biology,"$27,520",1.46,2014-2015,3rd,,"$27,700",,,$180
243,Duke University (DU),Romance Studies,"$26,000",1.38,2014-2015,2nd,,,"$21,000","$5,000",
244,Duke University (DU),Religion,"$25,955",1.38,2014-2015,2nd,,,"$24,455","$1,500",
245,Duke University (DU),Chemistry,"$27,580",1.47,2014-2015,2nd,,"$27,580",,,
246,Duke University (DU),Music,"$21,580",1.15,2014-2015,4th,"Summer funding of $5,500 is possible but not guaranteed. In addition to the stipend, Duke fully <span class=""truncated""> covers health insurance premiums. In previous years, there has been a small increase in the 9-month stipend, but this year there was not.</span>",,"$21,580",,
247,Duke University (DU),Music,"$21,580",1.15,2013-2014,3rd,"Summer funding of $5,500 is possible but not guaranteed. In addition to the stipend, Duke fully <span class=""truncated""> covers health insurance premiums.</span>",,"$21,580",,
248,Duke University (DU),Chemistry,"$37,000",1.97,2014-2015,3rd,,"$37,000",,,
249,Duke University (DU),Economics,"$19,500",1.04,2013-2014,5th,,,"$15,500","$4,000",
250,Duke University (DU),Economics,"$15,500",0.82,2014-2015,6th and up,,,"$15,500",,
251,Duke University (DU),Sociology,"$27,080",1.44,2014-2015,1st,,,"$21,580","$5,500",
252,Duke University (DU),English,"$22,110",1.18,2014-2015,1st,,,"$21,560",$550,
253,Duke University (DU),Cognitive Neuroscience Admitting Program,"$29,420",1.56,2014-2015,1st,,"$29,420",,,
254,Duke University (DU),Mechanical Engineering ,"$29,000",1.54,2014-2015,3rd,,"$29,000",,,
255,,,"$29,420",,2014-2015,,,"$29,420",,,
256,Northwestern University (NU),DGP (Life Sciences),"$27,780",1.27,2014-2015,5th,Health insurance premium included,"$28,000",,,$220
257,Duke University (DU),Pharmacology &amp; Cancer Biology/Graduate School,"$29,419",1.56,2014-2015,5th,,"$29,419",,,
258,Virginia Commonwealth University (VCU),Education,"$23,000",1.06,2014-2015,3rd,,"$23,000",,,
259,University of California - Irvine (UCI),Education,"$16,200",0.59,2013-2014,5th,Grad research position--stipend only. Fees covered.,,"$16,200",,
260,Virginia Commonwealth University (VCU),Education,"$23,000",1.06,2014-2015,2nd,,"$23,000",,,
261,Virginia Commonwealth University (VCU),Microbiology &amp; Immunology,"$24,100",1.12,2014-2015,6th and up,,"$24,100",,,
262,Vanderbilt University,Biomedical Informatics,"$28,500",1.44,2014-2015,1st,,"$28,500",,,
263,Harvard University (HU),BBS,"$2,884",0.11,2014-2015,3rd,,"$2,884",,,
264,Harvard University (HU),BBS,"$33,500",1.27,2014-2015,3rd,,"$33,500",,,
265,Massachusetts Institute of Technology (MIT),Materials Science &amp; Engineering,"$30,413",1.19,2013-2014,3rd,,"$30,413",,,
266,Harvard University (HU),BBS,"$34,583",1.31,2014-2015,3rd,,"$34,608",,,$25
267,Harvard University (HU),Division of Medical Sciences/ Biological &amp; Biomedical Sciences,"$34,608",1.32,2014-2015,3rd,,"$34,608",,,
268,Worcester Polytechnic Institute (WPI),Chemistry and Biochemistry,"$23,970",1.18,2014-2015,3rd,,,"$21,000","$3,000",$30
269,Harvard University (HU),Chemistry and Chemical Biology,"$33,204",1.26,2014-2015,,,"$33,204",,,
270,Baylor College of Medicine,The Integrative Molecular and Biomedical Sciences Graduate Program,"$29,000",1.51,2013-2014,4th,,"$29,000",,,
271,Stanford University (SU),Mechanical Engineering,"$35,000",1.40,2013-2014,5th,,"$35,000",,,
272,California Institute of Technology (Caltech),Biology,"$29,000",1.23,2014-2015,5th,,"$29,000",,,
273,University of North Carolina - Chapel Hill (UNC),Cell Biology and Physiology,"$27,500",1.46,2014-2015,3rd,,"$27,500",,,
274,Rice University,Mathematics,"$22,466",1.17,2014-2015,5th,"The $23000 stipend is standard across the department (not tied to adviser) and is paid over 11 <span class=""truncated""> months.  If you take more than one month off in the summer, you lose one month of stipend.  Everyone has a TA assignment (&lt;8 hrs/week) and helps with finals grading for the service courses.  It is sometimes possible to take on summer teaching for more money ($4900).  If you don&#39;t have health insurance through parents, the student health insurance is $667/year (after university subsidy) and can be paid by payroll deduction.</span>","$23,000",,,$534
275,Weill Cornell Medical College,Computational Biology and Medicine,"$35,375",,2014-2015,5th,,"$35,375",,,
276,University of Illinois - Urbana- Champaign (UIUC),Chemistry,"$23,000",1.33,2014-2015,5th,,"$24,000",,,"$1,000"
277,Texas A&amp;amp;M; University - College Station,Statistics,"$65,000",,2011-2012,,,"$65,000",,,
278,Texas A&amp;amp;M; University - College Station,Statistics,"$65,000",,2010-2011,,,"$65,000",,,
279,University of Louisville (U of L),Biochemistry,"$71,000",4.12,2003-2004,4th,,"$71,000",,,
280,Texas A&amp;amp;M; University - College Station,Veterinary Physiology &amp; Pharmacology,"$42,000",,2002-2003,3rd,,"$42,000",,,
281,Florida State University (FSU),Mathematics/Program in Neuroscience,"$43,000",2.19,2014-2015,5th,,"$43,000",,,
282,,,"$-11,800",,2014-2015,,,"$2,200",,,"$14,000"
283,University of Colorado - Boulder (UCB),Psychology and Neuroscience,"$15,009",0.73,2014-2015,1st,,,"$16,881",,"$1,872"
284,California Institute of Technology (Caltech),Economics,"$30,000",1.27,2014-2015,,,"$30,000",,,
285,California Institute of Technology (Caltech),Chemistry,"$30,000",1.27,2014-2015,3rd,,"$30,000",,,
286,University of Maryland - College Park (UMD),School of Public Policy,"$14,200",0.52,2014-2015,1st,,,"$15,000",,$800
287,Texas A&amp;amp;M; University - College Station,Civil Engineering,"$14,200",,2011-2012,2nd,,"$16,200",,,"$2,000"
288,University of Florida (UF),Food science and human nutrition,"$15,000",0.78,2014-2015,3rd,,"$15,000",,,
289,johns hopkins ,economics,"$23,000",,2014-2015,,,,"$23,000",,
290,University of Missouri (MU),psychological sciences,"$12,999",0.82,2011-2012,4th,,,"$13,499",,$500
291,University of Minnesota - Twin Cities (UM),Chemical Engineering,"$26,000",1.29,2006-2007,1st,,"$27,000",,,"$1,000"
292,University of Southern California (USC),,"$3,333",0.14,2014-2015,2nd,,,"$3,333",,
293,Cornell University (CU),Materials Science and Engineering,"$31,900",1.49,2014-2015,2nd,,"$31,900",,,
294,Columbia University (CU),economics ,"$27,000",1.02,2014-2015,2nd,,,"$24,000","$3,000",
295,University of Illinois - Urbana- Champaign (UIUC),Bioengineering,"$16,500",0.96,2014-2015,1st,,,"$17,500",,"$1,000"
296,Georgia Institute of Technology (Georgia Tech),Physics,"$17,800",0.85,2006-2007,6th and up,,"$19,000",,,"$1,200"
297,University of Florida (UF),Civil Engineering,"$25,300",1.31,2014-2015,,,"$27,000",,,"$1,700"
298,Baylor College of Medicine,Molecular and Cellular Biology ,"$28,900",1.50,2014-2015,1st,,"$29,000",,,$100
299,University of Texas - Austin (UT),chemical engineering,"$24,000",1.22,2014-2015,4th,,"$24,000",,,
300,University of Michigan - Ann Arbor (UM),Program in Biomedical Sciences,"$28,500",1.44,2014-2015,1st,,"$28,500",,,
301,Stanford University (SU),Economics,"$37,000",1.48,2014-2015,1st,Stanford GSB,"$37,000",,,
302,Boston University (BU),Economics,"$23,000",0.87,2012-2013,5th,,,"$19,000","$4,000",
303,,,"$20,500",,2014-2015,2nd,,,"$22,000",,"$1,500"
304,Oregon State University (OSU),integrative biology,"$17,700",0.99,2014-2015,5th,,"$18,000",,,$300
305,Duke University (DU),Cognitive Neuroscience Admitting Program,"$29,520",1.57,2014-2015,1st,"Luckily, the cost of living is relatively lower than I&#39;m used to, so we can live pretty comfortably <span class=""truncated""> on the stipend amount. I also get money on top of that for health insurance and conference funds. My monthly check usually goes into rent, utilities, car payments, and groceries, with enough leftover for multiple dinners out and local events. </span>","$29,520",,,
306,University of Washington (UW),computer science and engineering,"$24,900",1.24,2013-2014,1st,,"$25,800",,,$900
307,University of Washington (UW),electrical engineering,"$18,300",0.91,2013-2014,1st,,"$19,200",,,$900
308,Northwestern University (NU),Chemistry,"$28,000",1.28,2011-2012,1st,"Don&#39;t remember required fees. I believe there was a ~$80 per quarter for the U-Pass public transit <span class=""truncated""> card.</span>","$28,000",,,
